Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
590,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.83041981634117
595,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.66043207302333
600,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.78629400139363
605,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.97385044339695
610,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.90874128354145
615,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.80160728820381
620,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.69432879921101
625,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.78351072861896
630,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.771963003087535
635,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.657931103486526
640,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.66984332683619
645,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.88085370520418
650,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.804042520774246
655,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.90830785705058
660,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.91887152741601
665,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.925068048670624
670,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.6641603049132
675,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,54.09728681422872
680,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.957853905839286
685,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.963461402320206
690,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.891764363577295
695,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.834039908754235
700,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.711440852572856
705,ring,corr,0.05,0.0,0.1,1.3476020371116342,12.512521261261261,10,53.82026146564268
