Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
495,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2906176304404854
500,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2880027077303361
505,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2839644576562377
510,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2813382400365365
515,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2801679221612966
520,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28059995487945644
525,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28713132104258954
530,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28918957491506414
535,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.285887797007116
540,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28342256738970417
545,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2749230066246152
550,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27140967603832433
555,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.26841678195359964
560,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27695742627829456
565,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.26231657662318053
570,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27013123279648776
575,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.26803989930230465
580,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2670757349844888
585,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2713634643876097
590,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27199030506540856
595,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.27695343049494947
600,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.276491581152
605,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2868648338950165
610,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29616664355983857
615,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2912346627705489
620,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29899168935879294
625,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29391762002315547
630,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29100898463494485
635,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2971025843209738
640,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.291043784945213
645,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28064268380271284
650,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2752462694523764
655,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2818400696512676
660,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2861704974539455
665,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.29414880719983594
670,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.28567710100923027
675,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2838004558681462
680,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2840379350612273
685,ring,corr,0.1,0.0,0.005,0.2500838395793705,1e-05,10,0.2768100898458843
