Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
790,grid,corr,0.05,1,50.01676791587411,3.1032,10,59.065462467281954
795,grid,corr,0.05,1,50.01676791587411,3.1032,10,58.79353179052122
800,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.16517749177704
805,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.8515471305432
810,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.096384700179456
815,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.936189353279815
820,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.595095076064055
825,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.0506458844381
830,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.21379285334056
835,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.028347918137186
840,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.47633475851999
845,grid,corr,0.05,1,50.01676791587411,3.1032,10,60.891715782167616
850,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.88539445919186
855,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.03619636101536
860,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.61490040943371
865,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.9639406301792
870,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.08823437875327
875,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.55831167010613
880,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.437257564327986
885,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.83312142305043
890,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.19616985386567
895,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.3336728339974
900,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.09944988298762
905,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.654707298920506
910,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.871485616866224
915,grid,corr,0.05,1,50.01676791587411,3.1032,10,64.37532963297915
920,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.11116648587538
925,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.812074293923985
930,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.820981532720054
935,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.4166172110529
940,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.97417828773419
945,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.48167609041207
950,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.55081916324237
955,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.95764163306075
960,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.10595036062291
965,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.880521265838624
970,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.17588415304853
975,grid,corr,0.05,1,50.01676791587411,3.1032,10,61.99066270520018
980,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.58709018487228
985,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.456445686525825
990,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.705524905754025
995,grid,corr,0.05,1,50.01676791587411,3.1032,10,62.28979943326331
1000,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.83538644555482
1005,grid,corr,0.05,1,50.01676791587411,3.1032,10,63.53984575979471
