Step,topology,method,lr,momentum,clip,sigma,sigma-cor,epsilon,loss
685,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.10583784691508
690,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.586088076380804
695,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.16488407130383
700,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.359669931779795
705,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.262660603433417
710,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.05975966282099
715,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.37623612537944
720,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,20.425625574042783
725,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.064593468286507
730,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,21.87179665638515
735,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.128444086546455
740,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.274730188289926
745,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.467588628419758
750,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.214487138838432
755,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.857529354861125
760,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.82485765036215
765,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.450474580527466
770,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.58090662446964
775,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.615352505654382
780,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.127126422977227
785,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.177719254958916
790,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.35532451408424
795,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.5360536368643
800,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.046979878167985
805,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.342349629279628
810,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.732602603691358
815,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.48569662677481
820,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.053235046159088
825,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.835771769969426
830,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.518529437534564
835,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.658908300919478
840,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.704317521311186
845,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.72147576776486
850,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,22.85520847665557
855,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.026028936269245
860,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,23.908304107734313
865,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.730054211050668
870,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.00262003129833
875,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.440888762571397
880,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,24.80698713049523
885,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.40237082802646
890,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,26.64283498556405
895,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.949942723124238
900,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.569671863070717
905,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.52402283282093
910,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.665775951302013
915,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,25.94443415738701
920,ring,corr,0.05,0.0,0.5,25.008383957937056,3.103112792792793,10,26.949926988395838
