Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,accuracy,loss
380,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.938959503173828
385,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.38390197753906
390,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.748642349243163
395,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.083084487915038
400,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.565639877319335
405,centralized,cdp,0.5,1,6.349278828699045,0,10,,17.009460830688475
410,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.636894607543944
415,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.691767120361327
420,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.904465103149414
425,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.394112968444825
430,centralized,cdp,0.5,1,6.349278828699045,0,10,,15.144987487792969
435,centralized,cdp,0.5,1,6.349278828699045,0,10,,14.871601486206055
440,centralized,cdp,0.5,1,6.349278828699045,0,10,,14.68304672241211
445,centralized,cdp,0.5,1,6.349278828699045,0,10,,14.531948471069336
450,centralized,cdp,0.5,1,6.349278828699045,0,10,,16.43436279296875
455,centralized,cdp,0.5,1,6.349278828699045,0,10,,19.860811614990233
460,centralized,cdp,0.5,1,6.349278828699045,0,10,,22.88602294921875
465,centralized,cdp,0.5,1,6.349278828699045,0,10,,23.121258163452147
470,centralized,cdp,0.5,1,6.349278828699045,0,10,,22.275993728637694
475,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.098396682739256
480,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.31229248046875
485,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.08020439147949
490,centralized,cdp,0.5,1,6.349278828699045,0,10,,21.118183517456053
495,centralized,cdp,0.5,1,6.349278828699045,0,10,,18.832304382324217
500,centralized,cdp,0.5,1,6.349278828699045,0,10,,20.35286178588867
