Step,topology,method,lr,clip,sigma,sigma_cor,epsilon,loss
810,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36581205354960233
815,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36406567409536417
820,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36429598985823775
825,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36495212760670737
830,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3641400175937909
835,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3637493228047347
840,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36549765959668457
845,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.363474955008278
850,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36402208100061406
855,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3648585369148676
860,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3654804621765695
865,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3633311669665883
870,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3630266322316762
875,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3631008376730982
880,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3663648764561571
885,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36862902687435983
890,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36997167143943066
895,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3691764934969499
900,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36920118563518955
905,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36782207239018927
910,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3675552200368051
915,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36715707757488525
920,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36949753569249477
925,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.367331232751828
930,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3669067491724677
935,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3655821355063279
940,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36559522985774573
945,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3635231541919526
950,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3625486322597722
955,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3609393981001683
960,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.361944947551362
965,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3613002667594699
970,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3649685984919836
975,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36257934646639534
980,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36201586594369006
985,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3651092221673452
990,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3642452520112849
995,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36526211389860685
1000,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3636342899191418
1005,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3623004897307217
1010,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36084178702162595
1015,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36043293590313363
1020,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.35945540947599797
1025,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36037983388026296
1030,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3619620458649656
1035,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36159009759497185
1040,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36244629504827663
1045,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36057820399753626
1050,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36483674043007686
1055,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3645553213273971
1060,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36825335955715544
1065,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36815665180825474
1070,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3710726167017466
1075,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36969714706936296
1080,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36796789903061566
1085,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3692213678757331
1090,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3707650411619372
1095,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36869946211004545
1100,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3697157089477625
1105,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.367913294393858
1110,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36824907070985236
1115,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3659535493288564
1120,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3666899400941549
1125,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36770068234852094
1130,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36913924713387325
1135,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36947169191463947
1140,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.37011242175416603
1145,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36918720491498647
1150,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3688754672345882
1155,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3685149611631595
1160,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36905671380842386
1165,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36961719805594884
1170,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3708530536045105
1175,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36960742528067325
1180,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36711141155941607
1185,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3682260187171603
1190,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.3640007926297649
1195,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.363702369100514
1200,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36253146180198403
1205,centralized,ldp,0.01,0.01,0.5079423062959236,0,10,0.36348126529459224
