,topology,lr,clip,sigma,sigma-cor,T,loss,sigma_cor
97,grid,0.1,0.01,0.4379706620612811,,2000,4.596541691402744,0.1002
98,grid,0.1,0.01,0.500167679158741,,2000,0.6313064525965918,0.0001
99,grid,0.1,0.05,0.33690050927790854,,500,33.297668664954294,1.902
100,grid,0.1,0.05,0.8228147053518151,,500,58.07330763306419,0.5005999999999999
101,grid,0.1,0.05,1.2504191978968529,,500,1.0337130251117266,0.1002
102,grid,0.1,0.05,0.47644926939122106,,1000,28.33757816664977,2.3024
103,grid,0.1,0.05,1.1086607999295721,,1000,22.69602335180126,0.7008
104,grid,0.1,0.05,1.7683597883174167,,1000,1.892942193560164,0.1002
105,grid,0.1,0.05,0.6738010185558171,,2000,45.68748754140743,3.1032
106,grid,0.1,0.05,1.5678831393318051,,2000,35.23656796405188,1.1012
107,grid,0.1,0.05,2.4619652601077933,,2000,10.010381878541311,0.3004
108,grid,0.1,0.1,0.6738010185558171,,500,66.53296917292244,3.8039
109,grid,0.1,0.1,1.5678831393318051,,500,18.645930622852358,1.1012
110,grid,0.1,0.1,2.4619652601077933,,500,3.1889442399308088,0.3004
111,grid,0.1,0.1,0.9528985387824421,,1000,32.47747893918006,4.604699999999999
112,grid,0.1,0.1,2.3272714312571186,,1000,30.184822635675097,1.5015999999999998
113,grid,0.1,0.1,3.5367195766348334,,1000,34.13247697169466,0.3004
114,grid,0.1,0.1,1.3476020371116342,,2000,32.11090395440569,6.2063
115,grid,0.1,0.1,3.058020007291785,,2000,37.687031976103704,2.3024
116,grid,0.1,0.1,5.001676791587411,,2000,29.287522073421375,0.3004
117,grid,0.1,0.5,3.3690050927790853,,500,59.25549730549339,18.718799999999998
118,grid,0.1,0.5,8.422512731947712,,500,31.01647120290219,5.205299999999999
119,grid,0.1,0.5,12.504191978968528,,500,33.97182734214987,0.7008
120,grid,0.1,0.5,4.76449269391221,,1000,41.49300622391867,25.0251
121,grid,0.1,0.5,11.361482577790655,,1000,58.013911072265195,7.7078
122,grid,0.1,0.5,17.683597883174166,,1000,24.1116571229296,1.5015999999999998
123,grid,0.1,0.5,6.738010185558171,,2000,39.47041085326661,37.537600000000005
124,grid,0.1,0.5,16.067562750177174,,2000,38.31179975235194,10.911
125,grid,0.1,0.5,25.008383957937056,,2000,32.53261363808176,1.5015999999999998
126,grid,0.1,1.0,6.738010185558171,,500,53.12431017115858,37.537600000000005
127,grid,0.1,1.0,16.067562750177174,,500,35.58941193810889,10.911
128,grid,0.1,1.0,25.008383957937056,,500,42.75411230642252,1.5015999999999998
129,grid,0.1,1.0,9.52898538782442,,1000,57.69686808633345,50.0501
130,grid,0.1,1.0,23.272714312571182,,1000,47.12295041317523,14.8149
131,grid,0.1,1.0,35.36719576634833,,1000,32.646729053275266,3.1032
132,grid,0.1,1.0,13.476020371116341,,2000,32.71699932645021,75.0751
133,grid,0.1,1.0,32.13512550035435,,2000,43.57582412216335,21.8219
134,grid,0.1,1.0,50.01676791587411,,2000,39.15451327328119,3.1032
135,grid,0.5,0.01,0.0673801018555817,,500,39.763704912618735,0.3004
136,grid,0.5,0.01,0.1723375682075455,,500,8.17405449968956,0.1002
137,grid,0.5,0.01,0.2500838395793705,,500,0.4582980867561318,0.0001
138,grid,0.5,0.01,0.09528985387824421,,1000,39.98688843728886,0.5005999999999999
139,grid,0.5,0.01,0.29319955039459755,,1000,20.83580402069631,0.1002
140,grid,0.5,0.01,0.35367195766348325,,1000,1.044944609471424,0.0001
141,grid,0.5,0.01,0.1347602037111634,,2000,40.61474870440457,0.7008
142,grid,0.5,0.01,0.4379706620612811,,2000,51.28077686913336,0.1002
143,grid,0.5,0.01,0.500167679158741,,2000,1.9966798417307383,0.0001
144,grid,0.5,0.05,0.33690050927790854,,500,35.506511877340735,1.902
145,grid,0.5,0.05,0.8228147053518151,,500,55.77323259036335,0.5005999999999999
146,grid,0.5,0.05,1.2504191978968529,,500,13.432809281512052,0.1002
147,grid,0.5,0.05,0.47644926939122106,,1000,56.98451423656115,2.3024
148,grid,0.5,0.05,1.1086607999295721,,1000,36.76498042299972,0.7008
149,grid,0.5,0.05,1.7683597883174167,,1000,28.8586725580228,0.1002
150,grid,0.5,0.05,0.6738010185558171,,2000,60.564640015259,3.1032
151,grid,0.5,0.05,1.5678831393318051,,2000,33.31554713635291,1.1012
152,grid,0.5,0.05,2.4619652601077933,,2000,35.553060415456414,0.3004
153,grid,0.5,0.1,0.6738010185558171,,500,31.90798858721479,3.8039
154,grid,0.5,0.1,1.5678831393318051,,500,45.92666770375544,1.1012
155,grid,0.5,0.1,2.4619652601077933,,500,28.28016390758608,0.3004
156,grid,0.5,0.1,0.9528985387824421,,1000,55.51348871809291,4.604699999999999
157,grid,0.5,0.1,2.3272714312571186,,1000,55.64968811343755,1.5015999999999998
158,grid,0.5,0.1,3.5367195766348334,,1000,32.380849375846054,0.3004
159,grid,0.5,0.1,1.3476020371116342,,2000,37.8690510479829,6.2063
160,grid,0.5,0.1,3.058020007291785,,2000,65.03117099569504,2.3024
161,grid,0.5,0.1,5.001676791587411,,2000,39.24645349483544,0.3004
162,grid,0.5,0.5,3.3690050927790853,,500,36.089558805546005,18.718799999999998
163,grid,0.5,0.5,8.422512731947712,,500,64.92940325687593,5.205299999999999
164,grid,0.5,0.5,12.504191978968528,,500,48.91163641741588,0.7008
165,grid,0.5,0.5,4.76449269391221,,1000,38.42167063551743,25.0251
166,grid,0.5,0.5,11.361482577790655,,1000,66.5830414127848,7.7078
167,grid,0.5,0.5,17.683597883174166,,1000,63.06039260057649,1.5015999999999998
168,grid,0.5,0.5,6.738010185558171,,2000,40.54002509569709,37.537600000000005
169,grid,0.5,0.5,16.067562750177174,,2000,32.56422915023925,10.911
170,grid,0.5,0.5,25.008383957937056,,2000,37.85811737749464,1.5015999999999998
171,grid,0.5,1.0,6.738010185558171,,500,32.03991458379339,37.537600000000005
172,grid,0.5,1.0,16.067562750177174,,500,42.166849830387434,10.911
173,grid,0.5,1.0,25.008383957937056,,500,66.9821787131973,1.5015999999999998
174,grid,0.5,1.0,9.52898538782442,,1000,58.73078550955833,50.0501
175,grid,0.5,1.0,23.272714312571182,,1000,56.68285761675134,14.8149
176,grid,0.5,1.0,35.36719576634833,,1000,34.658758095789615,3.1032
177,grid,0.5,1.0,13.476020371116341,,2000,65.22962924294004,75.0751
178,grid,0.5,1.0,32.13512550035435,,2000,51.32510283981443,21.8219
179,grid,0.5,1.0,50.01676791587411,,2000,43.09428630792499,3.1032
